Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,11606.4,11146.1,22752.6
5/9/01,11225.3,10730.2,21955.5
10/14/01,11250,10766.1,22016.1
15-19,11389.4,10706.3,22095.7
20-24,11400.7,10760,22160.6
25-29,11532.3,10981.9,22514.2
30-34,11323.8,10870.5,22194.3
35-39,11013.4,10704.9,21718.3
40-44,10435.8,10246.7,20682.5
45-49,9840.1,9794.5,19634.6
50-54,8775,8825.3,17600.2
55-59,7517.9,7651.8,15169.7
60-64,6074.4,6286.9,12361.3
65-69,4518.6,4748.8,9267.4
70-74,3035.7,3308,6343.6
75+,2609.2,3363.1,5972.3
Jumlah/Total,143548,140890.8,284438.8
,,,
Catatan,,,
Hasil Proyeksi Penduduk Indonesia 2020-2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/ Indonesia Population Projection 2020-2050 Result of Population Census 2020 (mid year/June)  ,,,
